,image,caption,contest_number,rank,from_description,image_description,image_location,image_uncanny_description,explanation,questions
167,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x206 at 0x12BF8C3A0>,My guess is that we're down-sizing.,136,bad,,,,,,
168,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x303 at 0x12BF8C4C0>,At this point in my career I thought I was past the dirty work.,122,bad,,,,,,
169,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x303 at 0x12BF8C4C0>,"If the jury needs another day, they're using paper plates tomorrow.",122,finalist,,,,,,
170,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=564x436 at 0x12BF8C400>,I said no interruptions.,498,bad,,,,,,
171,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=564x436 at 0x12BF8C400>,Put him through.,498,finalist,,,,,,
172,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=727x536 at 0x12BF8C490>,We'll eventually miss him.,367,winner,"scene: a funeral home description: A woman and a man are observing a corpse in a casket. There is an IV stand nearby. uncanny: The dead man is still getting an IV drip. entities: Viewing_(funeral), Intravenous_therapy. caption: We'll eventually miss him.",A woman and a man are observing a corpse in a casket. There is an IV stand nearby.,a funeral home,The dead man is still getting an IV drip.,"A joke about a funeral for someone who is not dead yet --- people at funerals say things like ""we'll always miss them"" about the deceased, but here, the person is not dead, so the phrase is re-purposed to ""we'll eventually miss him"", i.e., when he does die in the future, he will be missed.",['Is he really dead?']
173,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=727x536 at 0x12BF8C490>,I consider it in poor taste.,367,bad,,,,,,
174,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=328x268 at 0x12BF8C8B0>,The coast is clear. Set the landmime.,44,bad,,,,,,
175,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=328x268 at 0x12BF8C8B0>,Not a good day for a street fair.,44,finalist,,,,,,
176,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=719x522 at 0x12BF8CA90>,You don't have to explain - you're already viral on You-tube.,391,finalist,,,,,,
177,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=719x522 at 0x12BF8CA90>,They're reducing the carbon footprint at work AGAIN?,391,bad,,,,,,
178,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x200 at 0x12BF8C910>,"And, best of all, it's completely waterproof!",54,finalist,,,,,,
179,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x200 at 0x12BF8C910>,It is time for a little philosophy.,54,bad,,,,,,
180,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=640x800 at 0x12BF8C280>,They don't feed the animals anything we wouldn't eat.,696,bad,,,,,,
181,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=640x800 at 0x12BF8C280>,"If there's a ring in here, Hank, I swear to God . . .",696,winner,"scene: a dinner table description: A couple is at a table in a restaurant. There is a trough on the table and a farmer is pouring slop into it. uncanny: Slop, farmers, and troughs are not for restaurants. entities: Gold_panning, Food_presentation. caption: If there's a ring in here, Hank, I swear to God . . .",A couple is at a table in a restaurant. There is a trough on the table and a farmer is pouring slop into it.,a dinner table,"Slop, farmers, and troughs are not for restaurants.","Hiding an engagement ring in a glass of champagne or a piece of cake can be a classy way to propose marriage. But, the woman is skeptical of the same proposal method being applied to the trough, which would not be a classy or appropriate way to propose.",['Why is the farmer doing that?']
182,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=791x597 at 0x12BF8CBB0>,Did you order the Obamacare Special?,405,bad,,,,,,
183,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=791x597 at 0x12BF8CBB0>,The gravy boat is docked at the wharf.,405,winner,"scene: a butcher shop description: There is a gigantic roasted chicken on a deli counter. A woman stares at it. uncanny: There is a gigantic roasted chicken on a deli counter and chickens are not that big. entities: Chicken, Customer. caption: The gravy boat is docked at the wharf.",There is a gigantic roasted chicken on a deli counter. A woman stares at it.,a butcher shop,There is a gigantic roasted chicken on a deli counter and chickens are not that big.,"A ""gravy boat"" is a special serving dish used for gravy during thanksgiving: it is normal sized, i.e., less than a foot long. But, the turkey here is giant, and so to get gravy for it, you might need a literal ""gravy boat"", i.e., a full sized boat filled with gravy (which according to this butcher is docked at the wharf).",['Why is there a huge roasted chicken on a deli counter?']
184,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x482 at 0x12BF8CEE0>,They keep away the pigeons.,564,finalist,,,,,,
185,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x482 at 0x12BF8CEE0>,So who gives a hoot?,564,bad,,,,,,
186,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x287 at 0x12BF8CFD0>,Tell my 1:30 things got way gnarly...,5,winner,"scene: waiting room description: A man is carrying a surfboard through the room. A woman at a desk stares at him. uncanny: You do not surf in an office. entities: Secretary, Surfing. caption: Tell my 1:30 things got way gnarly...",A man is carrying a surfboard through the room. A woman at a desk stares at him.,waiting room,You do not surf in an office.,"A playful joke that plays upon people's desire to not work. The boss, who is usually assumed to be the most serious about work, on a whim cancels his 1:30 meeting to go surfing because the waves look good. The employees are surprised by their boss' willingness to drop everything and go surfing.",['Why is the man carrying a surfboard in an office?']
187,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x287 at 0x12BF8CFD0>,"Donald clearly misunderstood ""surfing the net.""",5,bad,,,,,,
188,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x581 at 0x12BF8CF10>,The relationship was less symbiotic than I’d hoped.,441,finalist,,,,,,
189,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x581 at 0x12BF8CF10>,"Fish & Wildlife issues new program ""Eat and Release"".",441,bad,,,,,,
190,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=356x295 at 0x12BF8D240>,He came in with a splinter and then he sat in Helen's chair.,110,bad,,,,,,
191,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=356x295 at 0x12BF8D240>,I hear he's got 100 percent coverage ... parts and labor.,110,finalist,,,,,,
192,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x449 at 0x12BF8D2D0>,Like I'm the first person who's tried sleeping their way to the top.,567,finalist,,,,,,
193,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x449 at 0x12BF8D2D0>,"You said take the cheapest overnight flight, so I used FedEx.",567,bad,,,,,,
194,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=240x164 at 0x12BF8D180>,There's a warm front coming through this afternoon.,266,winner,"scene: an ice skating rink description: Several people are ice skating on a rink. At the middle of the rink is a lifeguard tower with a lifeguard sitting up top and observing the skaters. uncanny: There is a lifeguard tower watching over an area that is nowhere near the beach and nobody is swimming. entities: Lifeguard, Ice_rink. caption: There's a warm front coming through this afternoon.",Several people are ice skating on a rink. At the middle of the rink is a lifeguard tower with a lifeguard sitting up top and observing the skaters.,an ice skating rink,There is a lifeguard tower watching over an area that is nowhere near the beach and nobody is swimming.,"The joke is that a lifeguard, a safety measure at a pool, could be required if the ice rink melted into water. However, a warm front, even in the winter, probably wouldn't be enough to melt the ice rink and turn it into a pool. Nonetheless, the lifeguard, unusually placed at the rink, believes this might happen.",['Why is there a lifeguard on an ice rink?']
195,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=240x164 at 0x12BF8D180>,"They always told me CPR was important, but I never listened.",266,bad,,,,,,
196,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x447 at 0x12BF8D390>,"Medical license? No, but he has a liquor license.",573,finalist,,,,,,
197,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x447 at 0x12BF8D390>,Guess what happens if you say ANYTHING!,573,bad,,,,,,
198,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=328x268 at 0x12BF8D420>,I'm telling you that's exactly what I said- minefield straight ahead.,44,bad,,,,,,
199,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=328x268 at 0x12BF8D420>,It's not good—looks like they've got a full interpretive-dance troupe.,44,finalist,,,,,,
200,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=589x484 at 0x12BF8D4E0>,Did you hear the one about the bishop and the queen?,399,finalist,,,,,,
201,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=589x484 at 0x12BF8D4E0>,I'm gonna check ya and I'm gonna check ya REAL SLOW.,399,bad,,,,,,
202,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x123 at 0x12BF8D3C0>,"Well, I thought it was funny.",93,finalist,,,,,,
203,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x123 at 0x12BF8D3C0>,Pandemic? What Pandemic?,93,bad,,,,,,
204,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x319 at 0x12BF8D6C0>,Let me just run this by the panel.,345,bad,,,,,,
205,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x319 at 0x12BF8D6C0>,Any family history with death?,345,finalist,,,,,,
206,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x593 at 0x12BF8D7B0>,I was told you were the last person to use the key to the mens' room.,411,finalist,,,,,,
207,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x593 at 0x12BF8D7B0>,"Sir, excluding Quebec from our caption contest has proved to be very popular!",411,bad,,,,,,
208,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x563 at 0x12BF8D810>,I'll have one of each. I've never gotten to eat AT the table before.,701,bad,,,,,,
209,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x563 at 0x12BF8D810>,"The last time I was here, I swear they tried to poison me.",701,finalist,,,,,,
210,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x679 at 0x12BF8D8A0>,I don't care if it was unintentional. A vasectomy is a vasectomy.,681,bad,,,,,,
211,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x679 at 0x12BF8D8A0>,You pinch me one more time and you're going to find yourself in hot water.,681,winner,"scene: sidewalk description: A couple is walking down the street. The woman looks upset, and the man has colored claws. uncanny: The man has lobster claws. entities: Intimate_relationship, Lobster#As_food. caption: You pinch me one more time and you're going to find yourself in hot water.","A couple is walking down the street. The woman looks upset, and the man has colored claws.",sidewalk,The man has lobster claws.,"It's a play on words: in ""hot water"" figuratively means to be in trouble: someone might be in trouble if they pinched someone, but if they pinch someone with lobster claws for hands, they might literally be put into hot water, because lobsters are often cooked in boiling hot water.",['Why is it only the claws that have color?']
212,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x360 at 0x12BF8D630>,We have to move out—I just sold a painting.,462,finalist,,,,,,
213,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x360 at 0x12BF8D630>,He's used the same presentation for ages.,462,bad,,,,,,
214,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x233 at 0x12BF8D960>,"No, the meeting isn't over. That was just the introduction.",75,bad,,,,,,
215,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x233 at 0x12BF8D960>,Some of you may be aware that I have been taking piano lessons.,75,finalist,,,,,,
216,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x380 at 0x12BF8D5D0>,He has recreational A.D.D.,175,finalist,,,,,,
217,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x380 at 0x12BF8D5D0>,Kitchen sink? No room!!,175,bad,,,,,,
218,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x254 at 0x12BF8DD50>,It's a thongbird.,103,winner,"scene: a forest description: A bird wearing a speedo is balancing on a tree limb with wings outstretched. A couple are standing below the bird looking at it, with an outstretched book in the man's hands uncanny: It's unusual to see birds wearing human clothing entities: Bikini, Birdwatching. caption: It's a thongbird.","A bird wearing a speedo is balancing on a tree limb with wings outstretched.  A couple are standing below the bird looking at it, with an outstretched book in the man's hands",a forest,It's unusual to see birds wearing human clothing,"A play on the word ""songbird"", which is a common type of bird. Here, instead of the birdwatchers seeing a songbird, they see a similarly sounding ""thongbird"", which is identified because the bird is wearing a thong.",['Why is the bird wearing that speedo?']
219,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x254 at 0x12BF8DD50>,wierd branch!,103,bad,,,,,,
220,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x562 at 0x12BF8DEA0>,...and then you place advertising IN the article.,750,bad,,,,,,
221,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x562 at 0x12BF8DEA0>,Half the flock is still grazing remotely.,750,finalist,,,,,,
222,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=617x350 at 0x12BF8D9C0>,His surgery paid for itself.,451,winner,"scene: a feed box description: Three pigs are in front of a trough. One pig is about to eat from it. uncanny: Nothing seems out of place. entities: Piggy_bank, Pig. caption: His surgery paid for itself.",Three pigs are in front of a trough. One pig is about to eat from it.,a feed box,Nothing seems out of place.,"People sometimes get surgeries, especially cosmetic surgeries, in part to increase their value at work --- if they are more confident in their appearance, they might, e.g., be able to get a raise. But here, the surgery the pig got was to be turned into a piggy bank --- the joke is that becoming a piggy bank would cause the surgery to literally pay for itself, because piggy banks store money directly.",['What is in the trough?']
223,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=617x350 at 0x12BF8D9C0>,She says she never feels full.,451,bad,,,,,,
224,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x297 at 0x12BF8DF60>,And tomorrow there's a twenty-per-cent chance of anvils.,131,winner,"scene: outside a home description: A man and woman are staring out their window. It is raining safe,s which are crushing things. uncanny: It doesn't rain safes in the real world. entities: Safe, Rain. caption: And tomorrow there's a twenty-per-cent chance of anvils.","A man and woman are staring out their window. It is raining safe,s which are crushing things.",outside a home,It doesn't rain safes in the real world.,"In a world where safes rain down from the sky, it might make sense that anvils would too. This is a reference to a falling anvil, a trope from TVs/movies, where anvils fall and hit people on the head. In this odd world, the weather reports don't talk about chances of sun/rain, they report things like a 20% chance of anvils tomorrow.",['Why is it raining safes?']
225,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x297 at 0x12BF8DF60>,We should never have declared war on Switzerland.,131,bad,,,,,,
226,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x288 at 0x12BF8DDB0>,I represent several Arabic numerals who are being held without charges.,6,finalist,,,,,,
227,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x288 at 0x12BF8DDB0>,The sextuplets are fine but I'm having a hard time buying pantyhose.,6,bad,,,,,,
228,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x497 at 0x12BF8E020>,"""When is it ever a good time to break up?",332,finalist,,,,,,
229,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x497 at 0x12BF8E020>,Why aren't you wearing your ring?!,332,bad,,,,,,
230,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=600x415 at 0x12BF8DF00>,"Well, not THE answer, but AN answer.",598,bad,,,,,,
231,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=600x415 at 0x12BF8DF00>,It's for my back. You have two more questions.,598,winner,"scene: a cave description: Two men stand at the top of a mountain. The man on the right is sitting on a green yoga ball. uncanny: A man on the top of a mountain has a green yoga ball to sit on. entities: Exercise_ball, Nomad, Hiking. caption: It's for my back. You have two more questions.",Two men stand at the top of a mountain. The man on the right is sitting on a green yoga ball.,a cave,A man on the top of a mountain has a green yoga ball to sit on.,"A wise old mountain man is a trope, and such a character might whimsically offer passerby the answers to three questions. These questions would likely be philosophical (e.g., ""What's the meaning of life?""), but here, the hiker used one of his questions to ask about the yoga ball, which is more mundane in comparison (though still unusual for this trope).",['Where did the man at the top of the mountain get a green yoga ball to sit on?']
232,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=792x589 at 0x12BF8E230>,"And then I thought Wow, my cat really is kind of sexy.",416,finalist,,,,,,
233,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=792x589 at 0x12BF8E230>,Finally with Obamacare pre-existing conditions are covered.,416,bad,,,,,,
234,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=759x578 at 0x12BF8DF30>,When.,349,finalist,,,,,,
235,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=759x578 at 0x12BF8DF30>,Dopamine decaf.,349,bad,,,,,,
236,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x550 at 0x12BF8E1D0>,"We are getting too old for this, don't you think?",514,bad,,,,,,
237,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x550 at 0x12BF8E1D0>,Head for the carousel! It's our only chance!,514,finalist,,,,,,
238,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=674x532 at 0x12BF8E350>,Compliments of your ex.,390,finalist,,,,,,
239,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=674x532 at 0x12BF8E350>,Room for tuba?,390,bad,,,,,,
240,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=356x295 at 0x12BF8E500>,He still has his original brain.,110,bad,,,,,,
241,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=356x295 at 0x12BF8E500>,I wish I had those knees.,110,winner,"scene: a hospital description: A woman is pushing what appears to be a crash test dummy in a wheelchair down a hospital corridor. A pair of elderly gentlemen are walking past them heading in the other direction. uncanny: It's unusual to see a crash test dummy in a hospital entities: Crash_test_dummy, Health_care_rationing. caption: I wish I had those knees.",A woman is pushing what appears to be a crash test dummy in a wheelchair down a hospital corridor.  A pair of elderly gentlemen are walking past them heading in the other direction.,a hospital,It's unusual to see a crash test dummy in a hospital,"A joke about old folks and body envy --- sometimes, people will see other people with physical characteristics they want and say/think ""I wish I had those legs/arms/abs/etc."". But here, the old people are envious of a crash test dummy's knees, so the request comes across as one for a prosthetic knee replacement rather than something aesthetic.",['Why is that crash test dummy being pushed around in a wheelchair?']
242,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x793 at 0x12BF8E740>,"Wait, we have an oven?",557,finalist,,,,,,
243,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x793 at 0x12BF8E740>,So good it's sinful.,557,bad,,,,,,
244,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x562 at 0x12BF8E950>,"Every night, when I try to sleep, I can't stop thinking about work.",750,winner,"scene: a field description: A bunch of sheep are gathered in front of some sheep dogs. The sheep dogs are talking to each other. The dogs are huge. uncanny: The dogs are very large compared to the sheep. entities: Sheep, Sheep_dog. caption: Every night, when I try to sleep, I can't stop thinking about work.",A bunch of sheep are gathered in front of some sheep dogs. The sheep dogs are talking to each other. The dogs are huge.,a field,The dogs are very large compared to the sheep.,"A joke about ""counting sheep"" --- this is a method people use to calm down and fall asleep. But for herding dogs, counting sheep is literally part of their job, and so, this activity might cause them to stress about work, which is the opposite of the intent of the action of counting sleep before bed.",['Why are the dogs so huge?']
245,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x562 at 0x12BF8E950>,No problem Newt. They still think the election was rigged.,750,bad,,,,,,
246,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x541 at 0x12BF8E800>,So that's where all the furniture went.,746,winner,"scene: a prehistoric setting. description: A man is standing atop a pile of rocks. A woman is on the ground looking up at him. uncanny: The rocks are stacked in an odd shape. entities: Caveman, Paleolithic, Stone_Age. caption: So that's where all the furniture went.",A man is standing atop a pile of rocks. A woman is on the ground looking up at him.,a prehistoric setting.,The rocks are stacked in an odd shape.,"The cave wife is upset at the cave woman for building the pile of rocks because the rocks also acted as the furniture in their house. It's not clear why the man did this to their house; and also, because cave people don't usually have furniture, imagining their fancy, elaborate rock furniture house is funny.",['Why did he stack them that way?']
247,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x541 at 0x12BF8E800>,"No, it's called testosterone.",746,bad,,,,,,
248,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=727x536 at 0x12BF8EA10>,He had great health insurance.,367,finalist,,,,,,
249,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=727x536 at 0x12BF8EA10>,No one can accuse us of not trying.,367,bad,,,,,,
250,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=574x426 at 0x12BF8EA40>,My bedroom? That’s where the sleep happens.,464,winner,"scene: a living room description: There are three magicians in a room. One is holding a hat with rabbit, other is trying to cut through a box with girl in it and third one is holding cards in his hand. All of them are looking towards the door with surprise look where a man and a woman is standing. Woman is in shock and man appears to be explaining what is going on. uncanny: Three magicians in a room seems to be unusual element. entities: Magic_(illusion), Home. caption: My bedroom? That’s where the sleep happens.","There are three magicians in a room. One is holding a hat with rabbit, other is trying to cut through a box with girl in it and third one is holding cards in his hand. All of them are looking towards the door with surprise look where a man and a woman is standing. Woman is in shock and man appears to be explaining what is going on.",a living room,Three magicians in a room seems to be unusual element.,"Sometimes, people will make a light sexual reference by saying ""the bedroom is where the magic happens"". But here, prior to saying this caption, the person probably said ""my living room is where the magic happens"" in a literal sense. Underwhelmingly, this eccentric person only uses his bedroom for sleep.",['Did the man set this act up to surprise the woman?']
251,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=574x426 at 0x12BF8EA40>,There are less hostile ways to bring back the magic.,464,bad,,,,,,
252,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x793 at 0x12BF8EBF0>,What do you mean it's your mother's recipe?,557,winner,"scene: the jungle description: Adam and Eve are in the garden of Eden. Eve is offering Adam a pie. The serpent is in a nearby tree. uncanny: Apple pie is a modern food and doesn't belong. entities: Apple_pie, Adam_and_Eve. caption: What do you mean it's your mother's recipe?",Adam and Eve are in the garden of Eden. Eve is offering Adam a pie. The serpent is in a nearby tree.,the jungle,Apple pie is a modern food and doesn't belong.,"A ""mother's recipe"" for pie could be passed down, but Eve was made out of a rib from Adam. So --- Eve doesn't have a mom. And if she claimed it was her mother's recipe, it wouldn't make sense.",['Where did she find an oven?']
253,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x793 at 0x12BF8EBF0>,I still think we're going to get in trouble.,557,bad,,,,,,
254,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x240 at 0x12BF8EA70>,Hang on a minute; I'm downloading the answer right now.,42,bad,,,,,,
255,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x240 at 0x12BF8EA70>,"Yes, Mother, I know I should have started my appeal earlier.",42,finalist,,,,,,
256,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=574x426 at 0x12BF8EE90>,I got them on Amazon,464,bad,,,,,,
257,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=574x426 at 0x12BF8EE90>,You seemed disillusioned.,464,finalist,,,,,,
258,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x594 at 0x12BF8EF20>,"Apparently, climate change is getting more serious.",757,finalist,,,,,,
259,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x594 at 0x12BF8EF20>,"Looks like the kids are texting us, again.",757,bad,,,,,,
260,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=240x164 at 0x12BF8F100>,"Careful, the water’s hard today.",266,finalist,,,,,,
261,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=240x164 at 0x12BF8F100>,Year 'round employees get benefits.,266,bad,,,,,,
262,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x638 at 0x12BF8F040>,You would be amazed how dense it gets this time of year.,341,bad,,,,,,
263,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x638 at 0x12BF8F040>,"Quit joking, you guys, and grab my legs again.",341,winner,"scene: the sky description: Some ducks are flying over a farm. There is a turtle flying with them. uncanny: Turtles are not able to fly. entities: Mallard, Tortoise. caption: Quit joking, you guys, and grab my legs again.",Some ducks are flying over a farm. There is a turtle flying with them.,the sky,Turtles are not able to fly.,"A turtle flying in the air with geese (as depicted) is impossible, unless the geese and the turtle were friends, and the geese were carrying the turtle. That's what's implied by what the turtle is saying: that the picture shows a brief moment where the geese let the turtle go as a joke, and the turtle is about to fall.",['Why is the turtle there?']
264,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x243 at 0x12BF8F250>,I think it's a very sophisticated Sicilian message.,33,bad,,,,,,
265,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x243 at 0x12BF8F250>,"So, then, I guess the Johnsons are feeding our clothes.",33,finalist,,,,,,
266,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x287 at 0x12BF8F160>,"Susie, grab my speedo. The zebra print.",5,bad,,,,,,
267,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x287 at 0x12BF8F160>,Gotta reschedule. Water main break on Seventh!,5,finalist,,,,,,
268,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x333 at 0x12BF8F400>,"No, No - my lawyer requested and extra clause!",161,bad,,,,,,
269,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x333 at 0x12BF8F400>,So you think you're ready for the corner tank?,161,finalist,,,,,,
270,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x257 at 0x12BF8F520>,La Dolce Vita--eh kid?,4,bad,,,,,,
271,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x257 at 0x12BF8F520>,Pass me a beer truck?,4,finalist,,,,,,
272,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x547 at 0x12BF8F580>,"Oh yes, legendary. Ancient civilizations wrote songs about it.",706,bad,,,,,,
273,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x547 at 0x12BF8F580>,"Apparently, they wouldn't ask for directions, either.",706,finalist,,,,,,
274,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x169 at 0x12BF8F490>,"Cowabunga, dear.",105,finalist,,,,,,
275,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x169 at 0x12BF8F490>,Sunami? Where in Iowa.,105,bad,,,,,,
276,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x337 at 0x12BF8F7F0>,The view is great as long as you don't look down.,201,bad,,,,,,
277,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x337 at 0x12BF8F7F0>,They said the complaint box was anonymous.,201,finalist,,,,,,
278,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x365 at 0x12BF8F9A0>,Help the yardless?,210,finalist,,,,,,
279,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x365 at 0x12BF8F9A0>,Will shirk for Mai Tais.,210,bad,,,,,,
280,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x285 at 0x12BF8F850>,I told you not to bring the clown!,10,finalist,,,,,,
281,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x285 at 0x12BF8F850>,"Itís always about your career, Bippo.",10,bad,,,,,,
282,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x638 at 0x12BF8FAC0>,I don't like to cook in an empty stomach.,748,finalist,,,,,,
283,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x638 at 0x12BF8FAC0>,"Fred, do you remember where the entry was?",748,bad,,,,,,
284,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x193 at 0x12BF8FB50>,Mind if I look in the hole?,91,finalist,,,,,,
285,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x193 at 0x12BF8FB50>,I'm guessing you're not with Geico.,91,bad,,,,,,
286,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=667x629 at 0x12BF8FBB0>,Everything in my life right now just makes me feel so small.,438,bad,,,,,,
